DATETIME;ATHN;MXCO;NANM;CALM;ROME;AATB;BKSN;JUNG;JUNG1;LMKS;IRK2;IRK3;IRKT;DRBS;NEWK;KIEL2;YKTK;KERG;CALG;OULU;APTY;NRLK;TXBY;FSMT;INVK;JBGO;NAIN;PWNK;THUL;MWSN;SOPB;SOPO;DOMB;DOMC;TERA
2023-04-23 01:06:00; 57.245;213.000;261.908;   null;124.333;1298.400;124.188;153.194;345.024;422.536;343.930;373.000;167.000;104.608; 89.110;167.732;213.200;212.463;283.435;105.327;163.276;122.590; 98.000;212.290;183.340;252.280;198.310;210.820;120.580;223.935;134.660;277.700;  4.680; 17.781;106.526
2023-04-23 01:07:00; 54.197;223.167;257.384;   null;121.300;1283.600;126.883;153.134;352.566;421.611;344.300;378.000;166.000;107.188; 89.520;174.182;217.200;214.350;288.808;102.610;166.369;121.290; 97.333;204.140;179.340;257.840;200.920;203.830;119.310;222.510;134.260;285.050;  4.548; 17.564;110.427
2023-04-23 01:08:00; 53.848;222.217;260.164;   null;122.883;1290.000;121.677;152.013;347.168;423.731;348.810;377.000;169.000;101.719; 91.820;178.779;207.200;211.762;290.031;102.386;170.111;122.200; 96.933;207.290;184.800;   null;201.100;211.570;117.220;221.820;137.200;284.730;  4.865; 17.969;108.594
2023-04-23 01:09:00; 52.654;220.617;257.971;   null;119.150;1263.000;118.333;155.962;348.943;418.431;349.830;364.000;167.000;108.347; 89.260;174.951;210.933;208.046;289.727;103.991;170.678;121.790; 98.133;207.050;189.640;257.870;199.090;204.000;117.940;212.647;134.690;281.540;  4.865; 18.516;108.594
2023-04-23 01:10:00; 57.311;217.033;256.831;   null;118.067;1301.300;123.755;155.783;347.708;420.472;337.030;383.000;171.000;107.115; 90.490;165.905;212.000;217.371;290.594;103.367;170.099;120.560; 98.533;208.320;180.200;259.070;201.450;208.950;116.090;214.125;136.170;284.700;  4.810; 18.940;112.153
2023-04-23 01:11:00; 51.320;214.483;259.093;   null;120.750;1307.400;121.415;155.666;348.069;421.358;344.680;367.000;164.000;104.505; 87.700;169.604;204.667;212.463;291.291;102.438;170.155;124.040; 98.267;207.700;186.150;259.970;205.950;202.180;116.760;216.200;136.030;284.890;  5.032; 18.769;107.667
2023-04-23 01:12:00; 53.093;217.417;254.310;   null;120.550;1282.400;124.097;155.291;346.669;426.141;346.400;369.000;174.000; 99.575; 90.910;172.392;205.333;211.061;286.828;100.235;164.923;124.150; 98.400;207.160;179.510;259.070;200.680;203.170;116.580;215.155;134.190;271.200;  5.347; 17.331;110.663
2023-04-23 01:13:00; 55.034;215.817;261.943;   null;120.667;1291.700;123.327;153.898;352.740;421.881;338.580;374.000;171.000;103.753; 90.550;170.834;208.000;213.865;288.581;101.612;166.283;122.520; 98.667;206.260;183.320;255.930;201.730;207.040;117.060;216.132;135.530;280.670;  4.641; 17.671;113.188
2023-04-23 01:14:00; 51.366;219.150;262.392;   null;125.033;1289.900;119.381;154.674;348.208;423.943;348.400;379.000;168.000;101.632; 86.250;169.775;209.200;207.974;288.796;100.848;169.775;122.340; 97.867;210.850;184.210;   null;201.020;204.920;114.910;215.843;137.310;273.850;  5.105; 17.486;112.153
2023-04-23 01:15:00; 56.190;220.800;263.565;   null;121.183;1302.800;124.520;152.248;343.221;422.305;346.880;   null;169.000;107.040; 90.080;174.663;209.067;214.567;293.334;104.623;167.973;120.540; 95.733;209.650;189.620;   null;202.050;206.660;118.600;216.507;134.270;281.090;  4.345; 17.908;113.188
2023-04-23 01:16:00; 53.662;216.233;258.057;   null;119.867;1307.600;127.765;152.417;351.231;426.942;348.800;370.000;166.000;100.275; 89.390;169.519;210.533;212.678;293.557;101.226;170.198;119.810; 99.867;206.750;182.560;   null;203.450;198.910;116.920;215.490;133.470;275.770;  4.828; 16.550;115.604
2023-04-23 01:17:00; 52.937;214.217;257.625;   null;124.350;1301.400;122.002;156.618;348.519;424.012;348.380;366.000;163.000;104.049; 90.080;169.629;207.067;209.168;294.471;100.279;164.611;119.680; 97.200;205.580;185.170;   null;204.880;205.490;114.690;212.495;135.840;276.770;  4.604; 16.302;112.042
2023-04-23 01:18:00; 54.104;222.717;256.503;   null;114.950;1317.100;125.462;154.641;348.301;424.648;343.200;380.000;167.000;108.345; 89.660;171.522;208.667;214.298;289.386;101.704;171.040;120.470; 97.200;210.140;186.410;   null;195.800;206.670;116.460;221.397;137.180;276.300;  4.364; 17.457;112.153
2023-04-23 01:19:00; 53.027;218.850;260.457;   null;122.117;1304.400;121.712;153.575;353.663;426.576;350.860;371.000;164.000;112.088; 88.870;166.057;211.467;214.783;283.712; 98.894;167.840;123.860; 99.333;212.250;184.310;256.270;202.730;201.470;117.520;215.967;135.170;286.070;  5.199; 18.411;109.392
2023-04-23 01:20:00; 50.762;219.917;263.962;   null;120.983;1253.400;122.073;155.855;351.844;425.304;347.830;371.000;168.000;103.798; 91.100;171.100;210.400;217.811;287.441; 97.554;163.488;120.310;101.600;207.610;185.380;258.500;206.610;201.420;113.630;214.582;135.900;279.590;  5.033; 18.194;110.663
2023-04-23 01:21:00; 51.666;219.100;260.457;   null;125.417;1290.500;129.408;155.999;350.809;423.376;346.000;   null;167.000;103.708; 92.070;176.577;207.733;214.567;292.498;103.991;171.473;121.200; 99.067;203.320;182.500;257.780;199.620;208.430;117.310;221.283;136.300;279.720;  5.255; 16.757;111.697
